Time,MSGS RECEIVED
10/09/2025 11:27:33.899 AM,"#HWMONITORA,COM2,0,90.5,FINESTEERING,2159,69545.000,02004000,52db,16410;9,31.807083130,100,0.129304036,200,3.273504257,600,5.061782837,700,1.197802186,800,3.273504257,f00,1.821123362,1100,5.100854874,1500,33.150184631,1600*ebd2a2a9
"
10/09/2025 11:27:34.099 AM,"#PSRDOPA,COM2,0,91.0,FINESTEERING,2159,69546.000,02004000,1779,16410;1.6570,1.5080,0.9020,1.1340,0.6870,5.0,8,9,16,20,19,21,6,22,13*1794a6bf
"
10/09/2025 11:27:34.300 AM,"#TIMEA,COM2,0,91.0,FINESTEERING,2159,69546.000,02004000,9924,16410;VALID,-2.317668671e-10,1.160180822e-09,-18.00000000000,2021,5,23,19,18,48000,VALID*15488390
"
10/09/2025 11:27:34.500 AM,"$GPGSV,3,1,10,21,73,244,43,09,57,254,43,22,55,028,43,04,30,153,*7A
$GPGSV,3,2,10,16,26,330,42,19,18,287,42,13,17,118,42,20,13,054,42*7B
$GPGSV,3,3,10,06,07,209,41,07,04,174,*76
"
10/09/2025 11:27:34.702 AM,"#BESTXYZA,COM2,0,91.0,FINESTEERING,2159,69546.000,02004000,44cf,16410;SOL_COMPUTED,SINGLE,6041427.5969,2597624.8591,1930981.2322,2.5964,1.9546,1.7940,SOL_COMPUTED,DOPPLER_VELOCITY,-1374.8294,-2223.4330,7247.9367,0.3103,0.2336,0.2144,"""",0.000,0.000,0.000,8,8,8,0,0,02,00,01*9adf05d1
"
10/09/2025 11:27:34.902 AM,"#HWMONITORA,COM2,0,91.0,FINESTEERING,2159,69546.000,02004000,52db,16410;9,31.807083130,100,0.129304036,200,3.273504257,600,5.061782837,700,1.199023247,800,3.274725437,f00,1.823565364,1100,5.100854874,1500,33.150184631,1600*e7cd4dc5
"
10/09/2025 11:27:35.103 AM,"#PSRDOPA,COM2,0,89.5,FINESTEERING,2159,69547.000,02004000,1779,16410;1.6570,1.5080,0.9020,1.1340,0.6870,5.0,8,9,16,20,19,21,6,22,13*b385a7e6
"
10/09/2025 11:27:35.304 AM,"#TIMEA,COM2,0,89.5,FINESTEERING,2159,69547.000,02004000,9924,16410;VALID,-2.025234570e-10,1.174240982e-09,-18.00000000000,2021,5,23,19,18,49000,VALID*227ed461
"
10/09/2025 11:27:35.504 AM,"$GPGSV,3,1,10,21,73,244,43,09,57,254,43,22,55,028,43,04,30,153,*7A
$GPGSV,3,2,10,16,26,330,42,19,18,287,42,13,17,118,42,20,13,054,41*78
$GPGSV,3,3,10,06,07,209,41,07,04,174,*76
"
10/09/2025 11:27:35.706 AM,"#BESTXYZA,COM2,0,89.5,FINESTEERING,2159,69547.000,02004000,44cf,16410;SOL_COMPUTED,SINGLE,6040048.9348,2595399.9458,1938228.0133,2.5963,1.9545,1.7940,SOL_COMPUTED,DOPPLER_VELOCITY,-1382.5972,-2226.4361,7245.5493,0.3103,0.2336,0.2144,"""",0.000,0.000,0.000,8,8,8,0,0,02,00,01*afb662be
"
10/09/2025 11:27:35.906 AM,"#HWMONITORA,COM2,0,89.5,FINESTEERING,2159,69547.000,02004000,52db,16410;9,31.807083130,100,0.129304036,200,3.269841433,600,5.061782837,700,1.199023247,800,3.273504257,f00,1.827228308,1100,5.100854874,1500,33.150184631,1600*a283c427
"
10/09/2025 11:27:36.107 AM,"#PSRDOPA,COM2,0,89.5,FINESTEERING,2159,69548.000,02004000,1779,16410;1.6570,1.5080,0.9020,1.1340,0.6870,5.0,8,9,16,20,19,21,6,22,13*1c1713e3
"
10/09/2025 11:27:36.306 AM,"#TIMEA,COM2,0,89.5,FINESTEERING,2159,69548.000,02004000,9924,16410;VALID,-4.103845561e-10,1.175881811e-09,-18.00000000000,2021,5,23,19,18,50000,VALID*25e4276b
"
10/09/2025 11:27:36.508 AM,"$GPGSV,3,1,10,21,73,244,43,09,57,254,43,22,55,028,43,04,30,153,*7A
$GPGSV,3,2,10,16,26,330,42,19,18,287,42,13,17,118,42,20,13,054,41*78
$GPGSV,3,3,10,06,07,209,41,07,04,174,*76
"
10/09/2025 11:27:36.708 AM,"#BESTXYZA,COM2,0,89.5,FINESTEERING,2159,69548.000,02004000,44cf,16410;SOL_COMPUTED,SINGLE,6038662.4915,2593172.0320,1945472.3842,2.5963,1.9545,1.7941,SOL_COMPUTED,DOPPLER_VELOCITY,-1390.3828,-2229.4340,7243.1162,0.3103,0.2336,0.2144,"""",0.000,0.000,0.000,8,8,8,0,0,02,00,01*82f8c2c4
"
10/09/2025 11:27:36.907 AM,"#HWMONITORA,COM2,0,89.5,FINESTEERING,2159,69548.000,02004000,52db,16410;9,31.807083130,100,0.129304036,200,3.269841433,600,5.061782837,700,1.199023247,800,3.273504257,f00,1.827228308,1100,5.100854874,1500,33.150184631,1600*42fe5bde
"
10/09/2025 11:27:37.108 AM,"#PSRDOPA,COM2,0,89.5,FINESTEERING,2159,69549.000,02004000,1779,16410;1.6570,1.5080,0.9020,1.1340,0.6870,5.0,8,9,16,20,19,21,6,22,13*4bd25bfa
"
10/09/2025 11:27:37.309 AM,"#TIMEA,COM2,0,89.5,FINESTEERING,2159,69549.000,02004000,9924,16410;VALID,-4.262035813e-10,1.174886803e-09,-18.00000000000,2021,5,23,19,18,51000,VALID*9ad24d48
"
10/09/2025 11:27:37.511 AM,"$GPGSV,3,1,10,21,73,244,43,09,57,254,43,22,55,028,43,04,30,153,*7A
$GPGSV,3,2,10,16,26,330,42,19,18,287,42,13,17,118,42,20,13,054,42*7B
$GPGSV,3,3,10,06,07,209,41,07,04,174,*76
"
10/09/2025 11:27:37.710 AM,"#BESTXYZA,COM2,0,89.5,FINESTEERING,2159,69549.000,02004000,44cf,16410;SOL_COMPUTED,SINGLE,6037268.2981,2590941.1283,1952714.3443,2.5961,1.9544,1.7941,SOL_COMPUTED,DOPPLER_VELOCITY,-1398.1490,-2232.4313,7240.6923,0.3103,0.2336,0.2144,"""",0.000,0.000,0.000,8,8,8,0,0,02,00,01*7586038f
"
10/09/2025 11:27:37.911 AM,"#HWMONITORA,COM2,0,89.5,FINESTEERING,2159,69549.000,02004000,52db,16410;9,31.807083130,100,0.129304036,200,3.274725437,600,5.061782837,700,1.196581244,800,3.277167320,f00,1.826007366,1100,5.100854874,1500,33.150184631,1600*58c40511
"
10/09/2025 11:27:38.110 AM,"#PSRDOPA,COM2,0,89.5,FINESTEERING,2159,69550.000,02004000,1779,16410;1.6570,1.5080,0.9020,1.1340,0.6870,5.0,8,9,16,20,19,21,6,22,13*ab923460
"
10/09/2025 11:27:38.311 AM,"#TIMEA,COM2,0,89.5,FINESTEERING,2159,69550.000,02004000,9924,16410;VALID,-5.307175637e-10,1.173812034e-09,-18.00000000000,2021,5,23,19,18,52000,VALID*c3cd8979
"
10/09/2025 11:27:38.511 AM,"#BESTXYZA,COM2,0,89.5,FINESTEERING,2159,69550.000,02004000,44cf,16410;SOL_COMPUTED,SINGLE,6035866.3358,2588707.2350,1959953.8689,2.5961,1.9543,1.7942,SOL_COMPUTED,DOPPLER_VELOCITY,-1405.9490,-2235.4209,7238.2751,0.3103,0.2336,0.2145,"""",0.000,0.000,0.000,8,8,8,0,0,02,00,01*62172f27
"
10/09/2025 11:27:38.711 AM,"#HWMONITORA,COM2,0,89.5,FINESTEERING,2159,69550.000,02004000,52db,16410;9,31.807083130,100,0.129304036,200,3.273504257,600,5.061782837,700,1.195360184,800,3.273504257,f00,1.833943844,1100,5.100854874,1500,33.150184631,1600*832f04b4
"
10/09/2025 11:27:38.910 AM,"#PSRDOPA,COM2,0,86.0,FINESTEERING,2159,69551.000,02004000,1779,16410;1.6570,1.5080,0.9020,1.1340,0.6870,5.0,8,9,16,20,19,21,6,22,13*edf00d21
"
10/09/2025 11:27:39.111 AM,"#TIMEA,COM2,0,86.0,FINESTEERING,2159,69551.000,02004000,9924,16410;VALID,-6.446939556e-10,1.173020432e-09,-18.00000000000,2021,5,23,19,18,53000,VALID*94ecd43e
"
10/09/2025 11:27:39.310 AM,"$GPGSV,3,1,10,21,73,242,43,09,57,252,43,22,55,029,43,04,30,153,*7B
$GPGSV,3,2,10,16,27,330,42,19,18,287,42,13,17,118,42,20,13,055,41*78
$GPGSV,3,3,10,06,06,209,41,07,03,174,*70
"
10/09/2025 11:27:39.510 AM,"#BESTXYZA,COM2,0,86.0,FINESTEERING,2159,69551.000,02004000,44cf,16410;SOL_COMPUTED,SINGLE,6034456.6019,2586470.3606,1967190.9558,2.5961,1.9543,1.7943,SOL_COMPUTED,DOPPLER_VELOCITY,-1413.6926,-2238.4080,7235.8211,0.3103,0.2336,0.2145,"""",0.000,0.000,0.000,8,8,8,0,0,02,00,01*1db6e3bf
"
10/09/2025 11:27:39.712 AM,"#HWMONITORA,COM2,0,86.0,FINESTEERING,2159,69551.000,02004000,52db,16410;9,31.807083130,100,0.129304036,200,3.273504257,600,5.061782837,700,1.198412657,800,3.273504257,f00,1.810744882,1100,5.100854874,1500,33.150184631,1600*d48fa23c
"
10/09/2025 11:27:39.912 AM,"#PSRDOPA,COM2,0,86.0,FINESTEERING,2159,69552.000,02004000,1779,16410;1.6570,1.5080,0.9020,1.1340,0.6870,5.0,8,9,16,20,19,21,6,22,13*15bfd50a
"
10/09/2025 11:27:40.112 AM,"#TIMEA,COM2,0,86.0,FINESTEERING,2159,69552.000,02004000,9924,16410;VALID,-5.613132325e-10,1.161153654e-09,-18.00000000000,2021,5,23,19,18,54000,VALID*35201309
"
